Name,Specialty,City,State,Mobile
Dr. Ashish Kumar,Cardiologist,Gangtok,Sikkim,+91 9876543210
Dr. Sunita Sharma,Neurologist,Namchi,Sikkim,+91 8765432109
Dr. Rahul Singh,General Practitioner,Mirik,Sikkim,+91 7654321098
Dr. Anupama Reddy,Pediatrician,Jorethang,Sikkim,+91 6543210987
Dr. Alok Kumar,Orthopedic Surgeon,Rangpo,Sikkim,+91 5432109876
Dr. Pooja Mehta,Oncologist,Gangtok,Sikkim,+91 9876543210
Dr. Suresh Rai,Dermatologist,Gangtok,Sikkim,+91 9865432109
Dr. Priya Adhikari,General Surgeon,Gangtok,Sikkim,+91 9854321098
Dr. Deepak Chettri,Gynaecologist,Gangtok,Sikkim,+91 9843210987
Dr. Rakesh Sharma,Urologist,Gangtok,Sikkim,+91 9832109876
Dr. Anjali Das,Psychiatrist,Gangtok,Sikkim,+91 9821098765
Dr. Manoj Rai,Pathologist,Gangtok,Sikkim,+91 9810987654
Dr. Tashi Bhutia,Anesthesiologist,Gangtok,Sikkim,+91 9809876543
Dr. Sonam Lepcha,Ophthalmologist,Gangtok,Sikkim,+91 9798765432
Dr. Karma Bhutia,ENT Specialist,Gangtok,Sikkim,+91 9787654321
Dr. Tenzing Sherpa,Dentist,Gangtok,Sikkim,+91 9776543210
Dr. Pema Tamang,Diabetologist,Gangtok,Sikkim,+91 9765432109
Dr. Nima Lepcha,Cardiologist,Namchi,Sikkim,+91 8798765432
Dr. Lhakpa Sherpa,Neurologist,Namchi,Sikkim,+91 8787654321
Dr. Sonam Tamang,General Practitioner,Namchi,Sikkim,+91 8776543210
Dr. Mingmar Bhutia,Pediatrician,Namchi,Sikkim,+91 8765432109
Dr. Tashi Namgyal,Orthopedic Surgeon,Namchi,Sikkim,+91 8754321098
Dr. Ugyen Lepcha,Oncologist,Namchi,Sikkim,+91 8743210987
Dr. Karma Gyeltshen,Dermatologist,Mirik,Sikkim,+91 7798765432
Dr. Tenzin Norbu,General Surgeon,Mirik,Sikkim,+91 7787654321
Dr. Pasang Sherpa,Gynaecologist,Mirik,Sikkim,+91 7776543210
Dr. Nima Gurung,Urologist,Mirik,Sikkim,+91 7765432109
Dr. Mingmar Tamang,Psychiatrist,Mirik,Sikkim,+91 7754321098
Dr. Sonam Bhutia,Pathologist,Mirik,Sikkim,+91 7743210987
Dr. Tashi Gyeltshen,Anesthesiologist,Mirik,Sikkim,+91 7732109876
